19.0460954,72.8203861,13.49
19.0445027,72.8204507,9.79
19.0463051,72.820378,15.0
19.0445387,72.8204484,15.0
19.0463066,72.8203778,13.95
19.0445936,72.8204456,9.97
19.0460832,72.8203876,14.99
19.0444963,72.8204506,14.98
19.0465304,72.8203695,14.43
19.0447856,72.8204356,10.47
19.0458586,72.8203966,14.99
19.0445043,72.8204504,10.26
19.0467641,72.8203601,14.94
19.0449938,72.8204283,10.96
19.0456342,72.8204061,15.0
19.0445036,72.8204505,6.45
19.0468342,72.8203583,14.96
19.0452272,72.8204193,11.51
19.0454102,72.8204134,15.0
19.0445033,72.8204504,3.95
19.0467179,72.8203631,14.97
19.0454498,72.820411,12.02
19.0451876,72.8204225,15.0
19.0465252,72.8203699,14.99
19.0456603,72.8204032,12.51
19.0449652,72.8204316,15.0
19.0463053,72.8203779,15.0
19.0458919,72.8203941,13.04
19.0447426,72.8204401,15.0
19.0460728,72.820388,14.99
19.0461042,72.8203859,13.51
19.0445366,72.8204485,15.0
19.0458588,72.8203966,14.99
19.0463259,72.8203772,13.99
19.044496,72.8204506,14.98
19.0456344,72.820406,15.0
19.0465496,72.8203689,14.47
19.0445044,72.8204504,10.17
19.0454104,72.8204134,15.0
19.0467708,72.8203599,14.95
19.0445036,72.8204504,6.54
19.0451878,72.8204225,15.0
19.0468317,72.8203586,14.96
19.0445033,72.8204504,4.05
19.0449655,72.8204316,15.0
19.0467116,72.8203634,14.97
19.0447428,72.8204401,15.0
19.046497,72.8203712,14.99
19.0445367,72.8204485,15.0
19.0462867,72.8203788,15.0
19.044496,72.8204506,14.98
19.0460539,72.8203889,14.99
19.0445044,72.8204504,10.17
19.0458397,72.8203975,14.99
19.0445036,72.8204504,6.54
19.0456152,72.8204069,14.99
19.0445033,72.8204504,4.05
19.0453911,72.8204141,15.0
19.0451684,72.8204234,15.0
19.0449459,72.8204325,15.0
19.0447231,72.8204408,15.0
19.0445249,72.8204491,15.0
19.0444968,72.8204506,14.98
19.0445044,72.8204504,9.49
19.0445035,72.8204504,6.31
19.0445033,72.8204504,3.81
